epoch,steps,accuracy
0,-1,0.5818181818181818
1,-1,0.565
2,-1,0.5681818181818182
3,-1,0.575
4,-1,0.5768181818181818
5,-1,0.5781818181818181
6,-1,0.5872727272727273
7,-1,0.595
8,-1,0.5986363636363636
9,-1,0.5990909090909091
10,-1,0.5936363636363636
11,-1,0.6013636363636363
12,-1,0.6040909090909091
13,-1,0.6054545454545455
14,-1,0.6027272727272728
15,-1,0.600909090909091
16,-1,0.6136363636363636
17,-1,0.6072727272727273
18,-1,0.6031818181818182
19,-1,0.6145454545454545
20,-1,0.6013636363636363
21,-1,0.6068181818181818
22,-1,0.6118181818181818
23,-1,0.6077272727272728
24,-1,0.6122727272727273
25,-1,0.6131818181818182
26,-1,0.6118181818181818
27,-1,0.6095454545454545
28,-1,0.6068181818181818
29,-1,0.6122727272727273
30,-1,0.6204545454545455
31,-1,0.6168181818181818
32,-1,0.6140909090909091
33,-1,0.6163636363636363
34,-1,0.62
35,-1,0.6168181818181818
36,-1,0.615
37,-1,0.6163636363636363
38,-1,0.6177272727272727
39,-1,0.6140909090909091
40,-1,0.6190909090909091
41,-1,0.6177272727272727
42,-1,0.615909090909091
43,-1,0.6172727272727273
44,-1,0.6127272727272727
45,-1,0.6177272727272727
46,-1,0.62
47,-1,0.615
48,-1,0.6186363636363637
49,-1,0.6172727272727273
50,-1,0.6172727272727273
51,-1,0.6172727272727273
52,-1,0.6163636363636363
53,-1,0.6163636363636363
54,-1,0.6163636363636363
55,-1,0.6163636363636363
56,-1,0.6177272727272727
57,-1,0.6177272727272727
58,-1,0.6154545454545455
59,-1,0.6163636363636363
60,-1,0.6163636363636363
61,-1,0.615909090909091
62,-1,0.6145454545454545
63,-1,0.6186363636363637
64,-1,0.6172727272727273
65,-1,0.6172727272727273
66,-1,0.6181818181818182
67,-1,0.6181818181818182
68,-1,0.6218181818181818
69,-1,0.6186363636363637
70,-1,0.6177272727272727
71,-1,0.6181818181818182
72,-1,0.6181818181818182
73,-1,0.6186363636363637
74,-1,0.6186363636363637
75,-1,0.615909090909091
76,-1,0.615909090909091
77,-1,0.6172727272727273
78,-1,0.6168181818181818
79,-1,0.6168181818181818
80,-1,0.6172727272727273
81,-1,0.6172727272727273
82,-1,0.6168181818181818
83,-1,0.6172727272727273
84,-1,0.6172727272727273
85,-1,0.6172727272727273
86,-1,0.6181818181818182
87,-1,0.6168181818181818
88,-1,0.6163636363636363
89,-1,0.6163636363636363
90,-1,0.6177272727272727
91,-1,0.6172727272727273
92,-1,0.6172727272727273
93,-1,0.6177272727272727
94,-1,0.6177272727272727
95,-1,0.6163636363636363
96,-1,0.6168181818181818
97,-1,0.6172727272727273
98,-1,0.6172727272727273
99,-1,0.6177272727272727
